company.GVKEY,year.fyear,cf,earning.ni,lv_book,lv_mkt
  8717,2010-12-31,1018.7, 1013.500,0.0264183387487578,0.466942964278666
  8858,2010-12-31,32.006,   61.606,0,0
  8867,2010-12-31,-39.062,    4.541,0.555344401517525,3.42949259890811
  8902,2010-12-31,189.943,  189.058,0.315460555232973,7.11715661103979
  9125,2010-12-31,137.626,   90.074,0,0
  9466,2010-12-31,-143.2,   39.400,0.173638197713517,2.45204178537512
  9761,2010-12-31,0.459000000000003,  -26.627,0,
  9774,2010-12-31,-74.9,  521.000,0.278817099766153,16.3631457208944
  9777,2010-12-31,28.23,  479.482,0.156649130256944,18.0960700507896
  9818,2010-12-31,-1308.676,-3136.600,0.0713230057934935,0.376119969961249
 10137,2010-12-31,27562.663, 5750.302,,
 10200,2010-12-31,13.809,   12.282,0,0
 10305,2010-12-31,-1.167,    0.197,0,0
 10349,2010-12-31,1.996,    1.417,0.000452761847268337,
 10353,2010-12-31,0.635999999999999,   26.585,0.214016867049617,Inf
 10498,2010-12-31,41.486,  -64.913,0.420677867532854,
 10565,2010-12-31,22.65,  105.616,0.186760495139425,3.03224576785126
 10685,2010-12-31,-0.0789999999999997,    2.788,0.127006769825919,
 10692,2010-12-31,3.01,    5.026,0.147156677074269,
 11017,2010-12-31,-105.68,  156.565,0.186363458859977,2.89240382873783
 11027,2010-12-31,4.475,    0.818,0.000877685718297992,
 11099,2010-12-31,-9.633,   37.782,0,0
 11499,2010-12-31,32.545,  171.889,0.186902735273385,Inf
 11499,2010-12-31,32.545,  171.889,0.186902735273385,Inf
 11600,2010-12-31,-2.849,  115.066,0.150099955075697,219.906854130053
 11914,2010-12-31,95.628,   89.327,0,
 12065,2010-12-31,-0.861,   -1.116,0.00156128024980484,
 12142,2010-12-31,5649, 8547.000,0.200883932821106,0.800390117035111
 12181,2010-12-31,1.678,   -0.044,0,0
 12236,2010-12-31,-2.969,   28.175,0.211789571999539,
 12379,2010-12-31,2.187,  -20.018,0.0953273465737601,0.407372611464968
 12575,2010-12-31,1.245,    1.730,0.0546176046176046,
 12616,2010-12-31,43.608,   31.597,0.001318964105883,0.00833622785689476
 12815,2010-12-31,0.82,   -0.767,0,0
 12824,2010-12-31,21.632,   10.287,0.000150647785477553,0.000252638670559174
